Movie Name,Gross collection,Stars,Genre,Votes
The Dark Knight,$534.86M,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']","Action, Crime, Drama","2,739,626"
The Lord of the Rings: The Return of the King,$377.85M,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']","Action, Adventure, Drama","1,898,292"
Spider-Man: Across the Spider-Verse,-,"['Kemp Powers', 'Justin K. Thompson', 'Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez']","Animation, Action, Adventure","183,192"
Inception,$292.58M,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']","Action, Adventure, Sci-Fi","2,431,118"
The Lord of the Rings: The Fellowship of the Ring,$315.54M,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']","Action, Adventure, Drama","1,926,722"
The Lord of the Rings: The Two Towers,$342.55M,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']","Action, Adventure, Drama","1,713,124"
The Matrix,$171.48M,"['Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']","Action, Sci-Fi","1,970,423"
Star Wars: Episode V - The Empire Strikes Back,$290.48M,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']","Action, Adventure, Fantasy","1,329,360"
Soorarai Pottru,-,"['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Urvashi']","Action, Drama","119,996"
Terminator 2: Judgment Day,$204.84M,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']","Action, Sci-Fi","1,130,638"
Star Wars: Episode IV - A New Hope,$322.74M,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']","Action, Adventure, Fantasy","1,401,595"
Seven Samurai,$0.27M,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']","Action, Drama","354,826"
Harakiri,-,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']","Action, Drama, Mystery","62,054"
Sita Ramam,-,"['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth']","Action, Drama, Mystery","61,379"
Gladiator,$187.71M,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']","Action, Adventure, Drama","1,545,587"
Léon: The Professional,$19.50M,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']","Action, Crime, Drama","1,196,943"
Raiders of the Lost Ark,$248.16M,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']","Action, Adventure","1,002,611"
Spider-Man: Into the Spider-Verse,$190.24M,"['Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']","Animation, Action, Adventure","608,045"
Aliens,$85.16M,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']","Action, Adventure, Sci-Fi","736,748"
